ID,Zygotic_r1,Zygotic_r2,Day7_r1,Day7_r2,Day14_r1,Day14_r2,Somatic_r1,Somatic_r2
AT2G37810,2.451490124,2.820048053,4.155540758,7.508409602,1.49077297,2.809099721,2.010506396,25.64956858
AT2G37800,5.454184012,18.26109577,6.458273264,4.911065085,15.90062175,22.27204801,5.044092566,8.413259718
AT2G38060,139.6636315,125.2033794,82.329896,68.6459067,92.50196729,98.92528942,94.02809716,147.0325518
AT2G37790,546.8440044,794.5023253,1372.995529,1578.732126,1968.175194,1751.951591,1093.615519,753.5091316
AT2G37780,56.58696481,42.81404723,72.67946782,32.27412867,33.31137151,37.95699181,16.62323885,52.37585535
AT2G38010,291.3489509,340.208059,516.4399262,452.1815065,173.4355336,197.329744,207.8482991,309.5105027
AT2G38000,586.3810158,463.736924,379.1616006,365.2447692,429.1179906,330.1508537,351.9325157,510.5179927
AT2G37920,281.9429447,246.3253223,50.12306785,52.30832098,70.42592665,55.97710362,52.92299915,87.90729649
AT2G37880,329.1009809,246.4520005,15.51027454,20.88212711,30.42086535,9.004776919,24.49075164,33.54359998
AT2G37990,570.2157089,728.7509571,1263.65902,1523.454292,1480.227984,1388.971051,1524.389805,911.5480972
AT2G37975,945.5320067,684.922364,542.6851981,624.327663,349.397706,443.2590138,625.7542442,751.8940598
AT2G38050,256.8256604,199.9473437,470.1940259,394.0008045,282.6216517,295.4418595,324.282334,278.0139659
AT2G38020,308.3636147,353.8405326,360.6336687,399.4604668,488.9721768,458.0487111,599.6520212,438.8606312
AT2G37970,3688.990752,1975.036659,1018.008051,814.3204542,2129.366859,1895.526693,1806.051226,2339.580802
AT2G37870,87.48345144,66.83808855,98.07193826,53.23616306,138.2628687,159.3009439,46.31023783,160.170456
AT2G38040,5250.477329,5709.103409,339.1550598,252.6048225,367.1775442,440.8369557,1171.723449,911.6094178
AT2G37980,52.56136483,54.68153593,39.60480178,56.20223172,80.97610777,65.03366382,69.91580187,69.17919357
AT2G37940,198.1196728,287.7317193,442.3855118,549.4328986,727.4198678,804.1955546,893.468384,482.1964973
AT2G40720,43.56535289,60.11452508,97.59401929,125.0129942,115.1585938,127.3596522,84.22674249,105.5495509
AT2G45140,1726.889322,2083.637687,1701.745908,1944.094519,1360.432836,1416.272694,1002.15705,1240.185851
AT2G45150,148.2366045,196.7974439,175.8439042,224.0475453,159.1151068,140.1497001,123.1190344,205.5810267
AT2G45070,7469.419232,5785.249579,6510.1902,5218.042225,3997.473175,4702.626783,3631.699365,3125.419348
