"header","Zygotic_r1","Zygotic_r2","Day7_r1","Day7_r2","Day14_r1","Day14_r2","Somatic_r1","Somatic_r2"
"AT4G26150",90.10920847,102.2174402,126.8307627,97.64306752,21.10264208,4.232005016,119.9201944,127.6458038
"AT4G25650",2290.374619,2200.090444,669.2112476,714.613116,306.0621283,311.3994886,576.582454,869.5477164
"AT4G25940",14.06948092,16.60880163,9.095318551,4.538011486,3.78236399,1.809876792,13.59257047,17.1749518
"AT4G25960",1753.258988,1946.054911,618.2473503,676.6726524,180.4111616,159.9152459,48.13417376,324.1022062
"AT4G25880",346.1873355,428.3163115,906.1723867,1236.202713,1716.449977,1753.224122,2199.897446,1462.819784
"AT4G26020",6.139412699,14.98929185,12.74396884,8.918667043,0.197203754,0.918865714,5.919172081,6.717541722
"AT4G25350",10.29207799,9.130723315,4.309197492,3.107917917,2.29244806,2.230502917,1.440347743,16.70228208
"AT4G25410",1.28057991,5.109256736,3.28445581,1.845198735,10.70143253,21.66263279,21.29347219,36.71841585
"AT4G25490",179.8789539,165.883005,105.0370643,40.83794023,20.81134162,6.343785733,2.649324,7.799443279
"AT4G25470",242.0981202,211.7673063,118.2924905,77.06718632,54.9223689,56.46233937,48.29910531,77.94471794
"AT4G24890",288.8125836,160.7377486,73.7416299,61.78118841,40.78735699,41.98978371,105.6423349,163.7741509
"AT4G24510",33.68216536,25.23616768,28.12434956,21.76570007,1.349528466,4.295353598,9.375211368,13.78757445
"AT4G24670",106.9291999,141.0405603,44.01420163,50.60737643,3.167809843,17.60366321,57.75584919,77.66313707
