,z1_counts,z2_counts,o1_counts,o2_counts,g1_counts,g2_counts,h1_counts,h2_counts,t1_counts,t2_counts,b1_counts,b2_counts,m1_counts,m2_counts
AT2G36530,1706.635885,2373.989101,10597.27667,11350.67133,10276.09224,9169.40874,9562.879481,8483.309644,34196.15262,30422.02961,13763.98844,6353.69446,524.102947,956.7512718
AT3G53110,4768.883684,5967.412355,4166.946688,5148.340212,2559.974308,2140.589244,4930.906912,3596.098578,1538.269286,1995.238438,1047.272204,944.6024628,1785.078992,1735.456806
AT1G10920,10.66647428,10.32169174,41.78553782,38.28599458,19.74273245,5.090580841,22.64654124,18.01552308,6.559783737,20.12769007,24.7210177,18.22917033,6.257945635,0
AT1G55020,2002.388127,2351.87119,881.3653254,686.8957851,141.4895826,113.2654237,416.6963588,309.2664795,118.0761073,114.2733371,117.9866754,92.80304898,678.9871014,491.0931886
AT3G45140,80.48339686,53.08298611,90.53533194,114.8579837,0,1.27264521,60.39077664,84.07244102,36.07881055,40.90466046,1.123682623,0,1.564486409,9.782732841
AT1G17420,6512.367389,6380.280025,303.3320523,258.9934927,19.74273245,47.08787278,535.9681427,166.1431573,32.79891869,34.41185721,5.618413113,0,40.67664663,21.52201225
AT3G22400,154.1790374,112.0640818,20.11896265,20.26905595,0,3.817935631,1.509769416,4.003449572,0,0,25.84470032,8.285986516,6.257945635,1.956546568
AT2G38540,1861.784602,1794.499836,3450.402095,4846.55649,957.522524,650.3217024,608.4370746,552.476041,255.8315657,220.1060301,58.43149637,119.3182058,0,7.826186273
AT1G02910,48.48397401,58.98109567,147.7969949,295.02737,243.4937003,91.63045514,314.0320385,221.1905889,551.0218339,373.985467,214.6233809,125.946995,240.930907,122.2841605
AT1G05385,60.12012777,64.87920524,155.5350574,87.8325758,276.3982543,77.63135783,78.50800963,74.06381709,278.7908088,280.4891003,233.7259855,169.0341249,151.7551817,214.2418492
AT5G51545,34.90846129,60.45562307,82.02346312,103.5973971,108.5850285,91.63045514,83.03731788,148.1276342,688.7772924,497.3487287,226.9838898,106.0606274,117.3364807,116.4145208
AT1G73060,920.2258267,995.3059895,732.020718,1004.444328,1319.472619,577.7809255,773.001941,1019.878779,4424.574131,2777.621229,2114.770696,1204.782439,3426.225235,2861.449356
AT5G48910,24.24198701,57.50656828,125.3566134,168.9087996,85.55184063,64.90490572,215.8970265,131.1129735,285.3505926,366.8433835,344.9705651,185.606098,20.33832331,17.60891911
AT3G57650,23.27230752,44.23582176,174.1064076,204.9426769,329.0455409,259.6196229,1153.463834,800.6899145,3375.008733,3550.264815,2287.81782,1494.791967,15.64486409,56.73985048
AT1G51260,0,0,6.190450047,6.756351984,6.580910818,0,0,0,0,0,0,0,0,2.934819852
AT1G75020,42.66589713,39.81223958,150.1184136,114.8579837,88.84229604,100.5389716,128.3304004,98.08451452,95.11686419,127.2589436,96.63670554,89.48865437,123.5944263,168.2630049
AT3G18850,18.42391012,47.18487654,605.1164921,639.6013212,256.6555219,324.5245286,671.8473901,442.3811777,272.2310251,394.1131571,142.7076931,53.0303137,34.41870099,36.19611151
AT3G16950,1143.252107,1588.066001,1925.229965,2085.460646,1622.194517,3754.30337,5916.786341,6368.487407,8770.430856,15771.01909,8155.688475,8388.732749,17.2093505,228.9159485
